pmid,outcome,labels,full_text_attributes
26678954,"['Cumulative incidence of prostate cancer diagnosis', 'Prostate cancer risk by age and number of screens']","['Clinical', 'Clinical']","{'Prostate cancer risk by age and number of screens': ['29-52% complete attendees', 'median age at diagnosis was 65.1 years for the entire cohort; proportion of low-risk PCa increased with the number of screens', 'strongly affected by age at termination of screening, but not by the number of screens or age at the start of screening', 'when men reached the upper age-limit for invitation (70 years) PCa incidence was similar between the age cohorts'], 'Cumulative incidence of prostate cancer diagnosis': ['667 (19%) cases among complete attendees, 310 (8.9%) cancers among incomplete attendees', ""reached a 'steady state' after four screens and thereafter only increased with age but not with additional screens""]}"
26678611,"['changes in sway', 'gait performance (speed, variability)', 'fear of falling [Falls Efficacy Scale-International (FES-I)]']","['Clinical', 'Clinical', 'Life impact']","{'changes in sway': ['Reduced in IG compared to CG with p-values ranging from .010 to .022', '34.9% improvement', '39.1% improvement', '24.7% improvement', '−.962', 'p< 0.001'], 'fear of falling [Falls Efficacy Scale-International (FES-I)]': ['β= −.729', 'R2= 0.465', 'p= 0.059']}"
26674353,"['HPV genotyping', 'reflex LBC for colposcopy triage of baseline HPV positive women', 'CIN2 and CIN3+ rates based on HPV screening', 'agreement between HC2/COBAS', 'positive agreement between HC2/COBAS', 'association between HPV genotype and CIN2/CIN3+', 'association between LBC grade and CIN2']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","{'agreement between HC2/COBAS': ['96.1 % (95 % CI: 95.6 – 96.6)', 'Cohen’s kappa was 0.75 (95 % CI: 0.72 – 0.79)', '97.9 to 99.8 % overall agreement', '85.7 to 87.0 % positive agreement', ""kappa's (0.85 – 0.87)"", '7.4% discordant results among women aged 25-29, 3.6% among those 30 years and older; p <0.0001'], 'positive agreement between HC2/COBAS': ['77.5 % (95 % CI: 74.7 – 80.3)', '54.9 vs. 5.9 median HC2 RLU/CO values; p <0.0001', '30.2 vs. 38.3 median COBAS Ct values; p <0.0001'], 'HPV genotyping': ['2.1 % HPV 16 positive', '0.7 % HPV 18 positive', '7.1 % OHR HPV positive'], 'association between HPV genotype and CIN2/CIN3+': ['p <0.0001 for hrHPV genotypes in HC2+/COBAS+ enrollment specimens', 'HPV 16 positive: 58% for CIN3+, 23% for CIN2; HPV 18 positive: 15% for both CIN2 and CIN3+; non-HPV 16/18 OHR HPV: 33% for CIN3+, 67% for CIN2'], 'CIN2 and CIN3+ rates based on HPV screening': ['Round 1: 8.6/1,000 (95% CI: 6.3 - 10.9), Round 2: 0.7/1,000 (95% CI: 0.0 - 1.4)'], 'association between LBC grade and CIN2': ['52 (55 %) had LBC ≥ASCUS at baseline', 'No significant differences based on HPV genotype (p = 0.60)'], 'reflex LBC for colposcopy triage of baseline HPV positive women': ['OR 5.99, 95 % CI 2.53, 14.18; p <0.0001']}"
26673577,"['Progression-free survival', 'Overall response rate', 'Overall survival', 'Safety', 'Disease control rate', 'Duration of response']","['Clinical', 'Clinical', 'Mortality', 'Adverse Event', 'Clinical', 'Clinical']",{}
26672085,"['overall survival (OS)', 'progression-free interval', 'performance status', 'pelvic disease', 'prior cisplatin', 'black race', 'Moore criteria risk categories: low-risk, mid-risk, high-risk']","['Mortality', 'Clinical', 'Clinical', 'Clinical', 'None', 'None', 'Clinical']","{'overall survival (OS)': ['21.8 months for low-risk cohort', '8.2 months for high-risk cohort (p<0.0001)', '57% RR for low-risk cohort', '18.5% RR for high-risk cohort (p<0.001)', '20.1 months (low-risk), 8.2 months (high-risk)', 'p=0.017', '22.9 months (low-risk)', '12.1 months (high-risk)', 'P=0.0513', '12.1 months (chemotherapy alone), 17.9 months (chemotherapy plus bevacizumab)', 'p=0.0094'], 'Moore criteria risk categories: low-risk, mid-risk, high-risk': ['67% in mid-risk class', '19% as low-risk patients', '14% as high-risk patients', 'hazard ratio for death: 1.18 (95% CI 0.63-2.24)', 'hazard ratio for PFS: 1.15 (95% CI 0.71-1.85)', 'odds ratio for responding to therapy: 0.43 (95% CI 0.18-1.04)', 'high-risk', 'odds ratio of response for those treated with bevacizumab to those who were not in the low risk class patients was 1.52 (95% CI 0.64-3.64)', 'odds ratio of response for those treated with bevacizumab to those who were not in the mid-risk class patients was 1.84 (95% CI 1.16-2.92)', 'odds ratio of response for those treated with bevacizumab to those who were not in the high risk class patients was 1.93 (95% CI 0.52-7.18)'], 'progression-free interval': ['not statistically significant', 'p=0.066', 'not significant (p=0.1417)', 'hazard ratio: 0.694', '95% CI: 0.54-0.89', 'p=0.0047', '0.506 (95% CI 0.277-0.926; p=0.0272)']}"
26671747,"['microsatellite instability (MSI)', 'methylation status at hMLH1, CDKN2A and APC genes', 'immunoreactivity using the monoclonal antibody (mAb) Das-1', 'development of metachronous gastric cancer (MGC)']","['Clinical', 'Clinical', 'Clinical', 'Adverse Event']","{'microsatellite instability (MSI)': ['significantly higher incidences in the Group GC compared with those in the non-neoplasia (control) group (P=0.008 and P=0.02, respectively)', 'odds ratio (OR)=5.06, 95% confidence interval (CI) 1.41–18.09, P=0.01', '36 patients included in analysis', '73.7% (14 of 19) stable in eradicated group', '58.8% (10 of 17) stable in non-eradicated group'], 'immunoreactivity using the monoclonal antibody (mAb) Das-1': ['frequently observed in the Group GC patients whether they were positive or negative for H. pylori infection compared with the controls (P=0.07, both)', 'OR=2.51, 95% CI: 0.96–6.55, P=0.06', 'not significantly different'], 'methylation status at hMLH1, CDKN2A and APC genes': ['not significantly different']}"
26667449,"['suppression in serum estradiol levels', 'changes in serum estrone', 'testosterone', 'C-telopeptide (marker of bone resorption)', 'lipid profile', 'quality-of-life measures (QoL)']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Life impact']","{'suppression in serum estradiol levels': [], 'changes in serum estrone': ['-39.5 ± 29.5%', '-25.4 ± 31.9%', '-20.1 ± 35.5%', '-22.3 ± 34.4%'], 'testosterone': ['no significant changes'], 'C-telopeptide (marker of bone resorption)': ['47.67 ± 70.86% for 2.5 mg QD, p < 0.01', '37.08 ± 57.41% for 2.5 mg Q-MWF, p < 0.01', '48.73 ± 46.23% for 1.0 mg Q-MWF, p < 0.0001', '48.25 ± 70.68% for 0.25 mg Q-MWF, p < 0.01'], 'lipid profile': ['6.13 ± 11.44%, p = 0.01 (for cholesterol/HDL ratio in standard dose arm)'], 'quality-of-life measures (QoL)': ['no differences were observed in the proportion of women who experienced worsened, stable, and improved QoL scores among the treatment groups', 'the majority of study participants did not experience a clinically meaningful change in the QoL scores within the psychosocial, physical, or sexual domains', 'no differences were observed in the proportion of women who had worsened, stable, or improved QoL scores among the dose groups for each domain assessed in MENQOL']}"
26667358,"['emotional functioning', 'cancer-specific stress', 'sexual functioning', 'psychological functioning', 'quality of life']","['Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","{'sexual functioning': ['did not significantly differ', 'all scores tended to improve', 'FSFI lubrication had larger effect sizes at follow-up 2', 'Among the 41 sexually active participants, follow-up 1 effect sizes were considerably larger than those estimated for all participants—in the medium to large ranges', 'FSFI total: over 6.5 points higher on average for CSI-SH participants among sexually active women at baseline (p < 0.05)'], 'psychological functioning': ['measures of psychological distress did not significantly differ'], 'quality of life': ['QLQ-C30 EF had larger effect sizes at follow-up 2'], 'cancer-specific stress': ['IES total: significantly lower in CSI-SH patients (p < 0.05)'], 'emotional functioning': ['QLQ-C30 EF: better in CSI-SH patients at follow-up 1 and follow-up 2 (both p < 0.05)']}"
26657657,"['Overall survival (OS; primary end point)', 'Progression-free survival (PFS; secondary end point)']","['Mortality', 'Mortality']","{'Progression-free survival (PFS; secondary end point)': ['PFS events had occurred in 214 patients (77%) and 97 (35%) had died.', 'improved', '10.0 months (95% CI 6.2–13.4 months)', '6.2 months (95% CI 5.0–8.3 months)'], 'Overall survival (OS; primary end point)': ['improved', 'hormone receptor-positive disease', 'HR 0.44 in multivariate analysis', '63% (95% CI 50–74%)', '44% (95% CI 31–56%)']}"
26656336,"['heart rate', 'stroke volume', 'cardiac output', 'fluid demands', 'vasopressor demands', 'Circulatory blood flow alterations during surgery', 'Hemodynamic stability after 1.5 hours of surgery']","['Clinical', 'Clinical', 'Clinical', 'Resource use', 'Adverse Event', 'Clinical', 'Clinical']","{'heart rate': ['higher in HAS group', 'higher', 'increase during surgery', 'higher in HAS group compared to NLAS', 'decreases', 'increases'], 'stroke volume': ['lower', 'decrease steadily in HAS group, mainly maintained in NLAS group', 'increases', 'decreases'], 'cardiac output': ['not different'], 'Circulatory blood flow alterations during surgery': ['not equivalent between groups'], 'fluid demands': ['higher amount of total volume within GDT in HAS group'], 'vasopressor demands': ['higher norepinephrine administrations during surgery, resulting in higher cumulative doses at the end of surgery in HAS group']}"
26655430,"['Anthropometric measures', 'Physical activity', 'VO2max', 'Weight loss', 'BMI', 'Total physical activity levels', 'Energy intake', 'Fat intake', 'Fiber intake', '% energy from fat']","['Clinical', 'Life impact', 'Clinical', 'Clinical', 'Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact', 'Clinical']","{'Weight loss': ['69.3% vs. 37.5% agreed or strongly agreed that they could achieve their weight loss'], 'BMI': [], 'Total physical activity levels': ['3.6-fold increase', '3501.1 MET min/week'], 'VO2max': ['+0.10 kg/L/min'], 'Energy intake': ['-207.3±31.5 kcals', 'p = .06'], 'Fat intake': ['-15.5 ± 3.8 g', 'p = .08'], '% energy from fat': ['-4.8 ± 3.1%', 'p = .10'], 'Fiber intake': ['+3.2 ± 1.2 g', 'p = .20'], 'Physical activity': ['100% intended to follow physical activity recommendations', '92.3% self-monitored their physical activity and dietary goals', '77% weighed themselves weekly']}"
26651471,"['Minutes of moderate to vigorous physical activity', 'Psychosocial mediators of physical activity adoption and maintenance', 'Worry and perceived risk of developing breast cancer', 'Self-efficacy for physical activity']","['Clinical', 'Life impact', 'Life impact', 'Life impact']","{'Minutes of moderate to vigorous physical activity': ['At 3 months, the intervention arm had significantly greater increases from 14.11 min/week to 213.13 min/week compared to the active control arm which increased from 30.22 min/week to 129.04 min/week (B = 100.39; SE = 30.25, p = .0013).', 'Individuals in the intervention arm engaged in an estimated 97.8 more minutes at 3 months (p=0.0005) and 103.2 more minutes at the 5-month follow-up interval (p=0.0002) than the active control arm.', 'Between-group differences in meeting the study’s goal of 225 min/week, analyses suggest a borderline significant effect of intervention (p=0.05) such that the odds of meeting the physical activity guidelines were roughly 3-fold higher amongst those randomized to the physical activity intervention (OR=2.97, 95% CI:1.00–8.93).'], 'Self-efficacy for physical activity': ['0.72-point higher self-efficacy score for physical activity at 3 months (p<0.01)', '0.51 higher self-efficacy at 5 months (p=0.05)']}"
26650825,"['constipation severity', 'CAS (sum of eight components)', 'each CAS component (0-2 points)', 'mood states', 'satisfaction with the program']","['Clinical', 'Clinical', 'None', 'Life impact', 'Life impact']","{'constipation severity': ['significantly and clinically lower in the intervention group, compared to the control', 'lower', 'small volume of stool'], 'CAS (sum of eight components)': ['mean change in the CAS was significantly and clinically lower in the intervention group, compared to the control'], 'each CAS component (0-2 points)': ['Table S1'], 'mood states': ['depression-dejection score', 'significantly lower in intervention group compared to control (P = 0.021)'], 'satisfaction with the program': ['43.6% rated as excellent', '26.4% rated as good']}"
26650571,"['Cancer screening rates', 'Preventive behaviors', 'Primary care connections', 'Self-reported health outcomes']","['Life impact', 'Life impact', 'Life impact', 'Life impact']","{'Cancer screening rates': ['Pap tests: 19 percentage points higher', 'Colonoscopies: 10 percentage points higher', 'breast exams: 26 percentage points higher', 'pap tests: 21 percentage points higher', 'HPV vaccinations: 4 percentage points higher'], 'Preventive behaviors': ['smoking', 'heavy drinking', 'obesity', 'Rates of smoking and heavy drinking were lower in our treatment group, but results were not statistically significant', 'insurance did not affect the likelihood that respondents were overweight (based on self-reported height and weight used to compute BMI), nor did it make those who were overweight more likely to report tryinging to lose weight'], 'Primary care connections': ['Acquiring coverage substantially improved connections to primary care doctors'], 'Self-reported health outcomes': ['some lifestyle effects associated with better access to care might take longer to develop as individuals work through their more urgent health issues before turning their attention toward prevention and lifestyle change', '19 percentage points higher in rating overall health as good, very good, or excellent', '14 percentage points higher in classifying health as stable or improving']}"
26649138,"['DNA damage response using alkaline comet assay', 'Increased level of H2O2-induced DNA damage', 'Proportion of individuals sensitive to oxidative stress', 'Cancer risk associated with heterozygosity in XPD gene (codon 751)', 'Frequency of the XPD 312Asn allele in high grade tumors', 'ERCC6 1097Val/Val genotype association with muscle-invasive tumors']","['Clinical', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","{'Increased level of H2O2-induced DNA damage': ['exceeded those in healthy volunteers', 'highest level in the BC patients', '110 a.u. initial level', '25 a.u. residual level'], 'Proportion of individuals sensitive to oxidative stress': ['increased cellular sensitivity to oxidative stress in bladder cancer', '50% in BC patients sample', '14.3% in control group', '26.7% among elderly persons and individuals with chronic inflammations'], 'Cancer risk associated with heterozygosity in XPD gene (codon 751)': ['OR (95% CI) = 1.36 (1.03–1.81), p = 0.031', 'similar trends'], 'ERCC6 1097Val/Val genotype association with muscle-invasive tumors': ['Significantly increased in muscle-invasive tumors as compared to non-muscle-invasive ones (p = 0.0045)', 'significantly increased in high grade neoplasms', 'The combination involving Ser/Ser, Arg/Arg, Asp/Asp, Lys/Lys, Met/Met, and Gly/Gly genotypes of OGG1 (codon 326), XRCC1 (codon 399), XPD (codons 312 and 751), and ERCC6 (codons 1097 and 399), respectively, was a rare event occurring only in Ta/T1 tumors (2.1%). As shown in Figure 4(a), the total frequency of combinations represented by any five homozygous wild type genotypes was significantly higher in non-muscle-invasive carcinomas (18.7%) as compared to advanced tumors (7.9%) and together with the former combination containing all six wild type homozygotes they achieved 20.8% in Ta/T1 neoplasms as opposed to 7.9% in T ≥ 2 tumors'], 'Frequency of the XPD 312Asn allele in high grade tumors': ['significantly increased']}"
26646759,"['Progression-free survival (PFS)', 'Objective response rate (ORR)', 'Overall survival (OS)', 'Safety', 'Patient-reported outcomes']","['Mortality', 'Clinical', 'Mortality', 'Adverse Event', 'Life impact']","{'Progression-free survival (PFS)': ['5.6 versus 2.8 months', 'HR 0.60, 95% CI 0.43–0.85, P = 0.003'], 'Objective response rate (ORR)': ['32.1 versus 13.2%', 'OR 3.41, 95% CI 1.41–6.79, P = 0.005'], 'Overall survival (OS)': ['12.2 months', 'HR 1.00, 95% CI 0.70–1.43, P = 0.994'], 'Patient-reported outcomes': ['Time to deterioration of global health status/quality of life and predefined symptoms was not adversely affected by treatment with afatinib plus paclitaxel versus single-agent chemotherapy'], 'Safety': ['27.3% and 4.5% of patients required one or two afatinib dose reductions, respectively; 23.5% and 35.6% of patients required one or two paclitaxel dose reductions, respectively', 'Dose-reduction rates due to AEs were 32.6% in the combination arm and 11.7% with chemotherapy.', 'Discontinuation rates due to drug-related AEs were 18.9% in the combination arm and 6.7% with chemotherapy.', 'Serious treatment-related AEs were reported in 11.4% and 3.3% of patients in the combination and chemotherapy arms, respectively.']}"
26645413,"['Lung cancer mortality reduction', 'Stage of disease at detection (I, II)', 'Surgical resection rate', 'Cost-effectiveness ratio (£8466 per QALY gained)']","['Mortality', 'Clinical', 'Clinical', 'Resource use']","{'Stage of disease at detection (I, II)': [], 'Surgical resection rate': []}"
26645407,"['Serum trastuzumab concentrations', 'Pathologic complete response (pCR)', 'Grade ≥3 adverse events (AEs)']","['Clinical', 'Clinical', 'Adverse Event']","{'Serum trastuzumab concentrations': ['6403 samples collected in the SC arm [including 95 (1.5 %) outliers from 72 patients] and 9790 samples collected in the IV arm [including 337 (3.4 %) outliers from 138 patients]', '5th percentile: 4% quartile of observed concentrations', '25th percentile: 21% quartile of observed concentrations', '50th percentile: 50% quartile of observed concentrations', '75th percentile: 77% quartile of observed concentrations', '95th percentile: 95% quartile of observed concentrations', '75–148 μg/mL (SC regimen); 57–170 μg/mL (IV regimen)', '35 to 123 μg/mL (5th–95th percentiles)', 'large overlap in the distribution of Cmin,ss and AUCss across the body weight range for both regimens', 'trastuzumab concentrations in heavier SC patients were similar or higher when compared with all body weight ranges or groups of IV patients', '182 μg/mL (Cmax,ss) for IV 8/6 mg/kg q3w', '116 μg/mL (Cmax,ss) for IV 4/2 mg/kg qw', '149 μg/mL (Cmax,ss) for SC 600 mg q3w'], 'Pathologic complete response (pCR)': ['none of the parameters investigated impacted the primary efficacy endpoint, p > 0.1 for all'], 'Grade ≥3 adverse events (AEs)': ['No clinically meaningful pattern was observed in grade ≥3 AE rates within the quartile groups of model-predicted Cmin,ss, AUCss, or body weight quartile groups in either the SC or IV treatment groups.', 'none of the covariates had a significant effect on the probability of grade ≥3 AEs (p values of parameter estimates were >0.05)']}"
26644535,"['reduction of worst pain', 'Average pain', 'interference of pain with activity', 'breakthrough pain', 'mood', 'quality of life', 'adverse events']","['Clinical', 'Clinical', 'Life impact', 'Adverse Event', 'Life impact', 'Life impact', 'Adverse Event']","{'reduction of worst pain': ['2-point reduction', '15.5% (pregabalin) did not achieve', '11.9% (placebo) did not achieve'], 'Average pain': ['95% CI, -1.02 to 0.75', '−0.52 (95% CI, −1.22 to 0.19; P = .150)', 'adjusted mean difference between arms for BPI Intensity score was −0.7'], 'interference of pain with activity': ['adjusted mean difference between trial arms for BPI Interference score was −1.8'], 'mood': ['HADS score between study arms (−1.1)'], 'adverse events': ['51 serious AEs reported, 27 (53%) in pregabalin arm, 24 (43%) in placebo arm; one related to pregabalin; most common AE in pregabalin arm: cognitive disturbance (23 events)'], 'breakthrough pain': ['duration of breakthrough pain episodes was lower in the pregabalin arm (P = .037)']}"
26644265,"['Weight loss', 'Biomarkers', 'weight loss', 'weight loss', 'IL-2']","['Clinical', 'Clinical', 'Life impact', 'Clinical', 'Clinical']","{'Weight loss': ['70.0% stage I', '10% of participants had further weight loss at 6 months with a median loss of 0.64 kg in text arm only', 'At 12 months, 25% of the cohort was successful with continued weight loss compared to intervention completion weight (4.0 kg vs. 2.7 kg additional weight loss in telemedicine versus WiFi arms)', '20% in the telemedicine arm and 30% in the text arm were able to maintain their weight loss at 12 months after completion of the intervention'], 'weight loss': ['median BMI: 34.5 kg/m2', 'median age: 60.5 years', '10% of participants had further weight loss at 6 months with a median loss of 0.64 kg in text arm only', 'At 12 months, 25% of the cohort was successful with continued weight loss compared to intervention completion weight (4.0 kg vs. 2.7 kg additional weight loss in telemedicine versus WiFi arms)', '20% in the telemedicine arm and 30% in the text arm were able to maintain their weight loss at 12 months after completion of the intervention'], 'IL-2': ['significant difference between pre- and post-intervention levels']}"
26643072,"['RESTORE (web-based resource)', 'Leaflet (control)']","['None', 'None']","{'RESTORE (web-based resource)': ['N=8', 'female: n=15, ≤60 years: n=14, age range 39–78 years', 'cancer types represented: majority breast cancer (n=12)', 'accessed ≥3 RESTORE sessions: n=6', '41% consented', '9% ineligible due to lack of access to computer/Internet', '1% declined due to web-based nature', ""48.8% 'not working'"", 'problems navigating', 'difficulties logging on', 'password refused', 'screens freezing or closing down unexpectedly', '≥1 year from diagnosis', 'participants would have preferred sooner', 'improved understanding of CRF', 'increase in confidence to self-manage', 'half preferred', '71% adhered', '60% logged on to four sessions', '43% logged on to five sessions', '51% visited Work and home life session', '27% visited Talking to others', 'improved fatigue self-efficacy at T1 with a mean score of 0.514, 95% CI [-0.084, 1.112], P = 0.09', 'mean number of visits to a GP practice at T2: 2.29 (1.27)'], 'Leaflet (control)': ['N=11', ""36.0% 'not working'"", 'made positive changes to lifestyle', 'more convenient', 'mean number of visits to a GP practice at T2: 1.90 (1.04)']}"
26637268,['invasive ER(+) breast cancer risk'],['Clinical'],"{'invasive ER(+) breast cancer risk': ['HR = 1.28 (95% CI 1.10, 1.49)', '37 cases classified as normal weight', '56 cases classified as overweight', '50 cases classified as obese', '103 controls (38.4%)', '92 controls (34.3%)', '73 controls (27.2%)', '18.3 additional cases per 100,000 woman-years for overweight', '20.2 additional cases per 100,000 woman-years for obesity', '7.0 cases of breast cancer per 100,000 woman years for a 5 kg/m2 increase in BMI', '10% (1.8 cases per 100,000) indirect effect from circulating unconjugated estradiol for overweight', '15% (3.0 cases per 100,000) indirect effect from circulating unconjugated estradiol for obesity', '20% (1.4 cases per 100,000) indirect effect of a 5 kg/m2 increase in BMI', '7 percent indirect effect to total effect based on Cox proportional hazards model', '12 percent indirect effect to total effect based on Cox proportional hazards model', '19 percent indirect effect to total effect based on Cox proportional hazards model']}"
26633806,['Pathological complete response (pCR) rate'],['Clinical'],"{'Pathological complete response (pCR) rate': [""{'CTZ group': '14.8% (13/88 patients)', 'CT group': '7.7% (7/91 patients)', 'Postmenopausal CTZ group': '18.4%', 'Postmenopausal CT group': '5.1%', 'Triple-negative breast cancer CTZ group': '35.3%', 'Triple-negative breast cancer CT group': '11.8%', 'Both postmenopausal and triple-negative breast cancer CTZ group': '50.0%', 'Both postmenopausal and triple-negative breast cancer CT group': '0.0%', 'CTZ group (n = 38)': '14.8% (13/88 patients', 'CT group (n = 39)': '7.7% (7/91 patients)', 'CTZ group (n = 17)': '35.3%', 'CT group (n = 17)': '11.8%', 'CTZ group (n = 8)': '50.0%', 'CT group (n = 9)': '0.0%', 'p-value': '0.068', 'Test': 'one-sided chi-squared test', 'Postmenopausal p-value': '0.071', 'Test (postmenopausal)': 'Fisher’s exact test', 'Triple-negative breast cancer p-value': '0.112', 'Test (triple-negative breast cancer)': 'Fisher’s exact test', 'Both postmenopausal and triple-negative breast cancer p-value': '0.029'}""]}"
26630576,"['mutations in cancer-related genes', 'tumor reduction ≥25% after cycle 1', 'mutant allele frequency']","['Clinical', 'Clinical', 'Clinical']","{'mutations in cancer-related genes': ['PIK3CA (n = 8: H1047R, n = 3; H1047L, n = 2; E542K, n = 1; E545K, n = 1; N345K, n = 1), EGFR S768I (n = 1), KIT Y503-F504insAY (n = 1)', 'PIK3CA', 'EGFR', 'KIT', 'ABL1', 'MET', 'PDGFRA', 'MT→WT or WT→MT'], 'mutant allele frequency': ['pre-treatment: 25% (10/40)', 'post-treatment: 28% (11/40)', 'mean pre-treatment MT: 40% (range 9–98%), mean post-treatment MT: 47.9% (range 13–100%)', '<25% vs ≥25%', 'R = -0.667, p = 0.035']}"
26625004,"['cardiac toxicity', 'disease-free survival (DFS)', 'overall survival (OS)']","['Adverse Event', 'Mortality', 'Mortality']","{'cardiac toxicity': ['No lethal toxicities were observed.'], 'disease-free survival (DFS)': ['HR for conventional vs abbreviated, 1.3; 95% CI, 0.8–2.1; P=0.3; 5-year DFS, 73 and 76%, respectively'], 'overall survival (OS)': ['HR, 1.4; P=0.3; 5-year OS, 83 and 89%, respectively']}"
26621521,"['memory difficulty', 'sleep quality']","['Life impact', 'Life impact']","{'memory difficulty': ['328 participants provided evaluable memory difficulty data at baseline and postintervention', '-0.60 (YOCAS©® group) vs -0.16 (controls)', '19.2% improvement in YOCAS©® group compared to 5.4% improvement in controls', 'P < .05 for postintervention group difference', ""-0.24 Cohen's D effect size"", '−0.361 (P = .078)'], 'sleep quality': ['−0.894 points (P < .05)']}"
26621127,"['knowledge of tests', 'awareness of risk factors', 'Recollection']","['Clinical', 'Life impact', 'Life impact']","{'knowledge of tests': ['Know Fecal Occult Blood Test (FOBT) is available for CRC (p < 0.01)', 'Know Sigmoidoscopy is available for CRC (p < 0.01)', 'Know Colonoscopy is available for CRC (p < 0.01)', '7% increase compared to tabling group'], 'awareness of risk factors': ['Getting older increases the risk of CRC (p < 0.01)', 'A diet that doesn’t have many fruits and vegetables increases the risk of CRC (p = 0.02)', 'A family history of colorectal cancer increases the risk of CRC (p = 0.01)', '33 % increase in percentage correct on awareness of screening tests available for inflatable colon group, compared to 15 % for tabling group; p value = 0.17', '2% increase in percentage correct for tabling group', '5% difference between groups, not statistically significant (p value = 0.09)']}"
26620555,"['Early morbidity', 'Operative outcomes (operative time, estimated blood loss, and incision length)', 'tumor size', 'length of proximal and distal resection margins', 'number of harvested lymph nodes', 'WBC', 'NE%', 'CRP', 'IL-6', 'TNF-α', 'time to first ambulation', 'flatus', 'liquid diet', 'soft diet', 'duration of hospital stay', 'Pain intensity', 'Body image and cosmetic assessment', '3-year disease free survival (DFS)', '5-year overall survival (OS)']","['Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Life impact', 'Clinical', 'Life impact', 'Life impact', 'Resource use', 'Clinical', 'Life impact', 'Mortality', 'Mortality']",{}
26620120,"['colorectal cancer incidence', 'colorectal cancer mortality', 'all-cause mortality']","['Clinical', 'Mortality', 'Mortality']","{'colorectal cancer incidence': ['−10.0 to 90.0 %', '−0.6% to 37.0%'], 'all-cause mortality': ['p-value < 0.0001'], 'colorectal cancer mortality': ['0.7 to 35.9 %']}"
26617438,"['pain intensity (Visual Analogue Scale, VAS)', 'adverse reactions including constipation, nausea, fatigue, and anorexia (EORTC QLQ-C30)', 'proinflammatory cytokines interleukin-1β and tumor necrosis factor-α', 'endogenous anti-inflammatory cytokine interleukin-10']","['Clinical', 'Adverse Event', 'Clinical', 'Clinical']","{'proinflammatory cytokines interleukin-1β and tumor necrosis factor-α': ['60 patients', '174 ± 25 pg/mL (IL-1β), 297 ± 35 pg/mL (TNF-α)'], 'pain intensity (Visual Analogue Scale, VAS)': ['significantly decreased', 'significantly lower'], 'adverse reactions including constipation, nausea, fatigue, and anorexia (EORTC QLQ-C30)': ['significantly prevented or reduced by the treatment of a combination of XAT with morphine', 'greatly increased after repetitive morphine treatment', 'greatly reduced by repetitive XAT treatment'], 'endogenous anti-inflammatory cytokine interleukin-10': ['4.70 ± 0.79 pg/mL']}"
26608978,"['Nutritional status (prealbumin, transferrin, albumin)', 'Incidence of complications (bone marrow suppression, infections)', 'Completion rate of radiotherapy', 'Length of hospital stay (LOS)', 'In-patient cost']","['Clinical', 'Adverse Event', 'Clinical', 'Resource use', 'Resource use']","{'Nutritional status (prealbumin, transferrin, albumin)': [""{'PALB': {'NST group': '79.98 ± 57.54', 'Control group': '17.43 ± 66.52'}, 'P value for NST group': '0.000', 'P value for Control group': '0.203', 'P value for difference between groups': '0.001'}"", ""{'transferrin': ['NST group: 0.36 ± 0.67, P = 0.013', 'control group: -0.43 ± 0.61, P = 0.002']}"", 'difference between groups: P = 0.000', ""{'Albumin (ALB) change': ['NST group: 0.00 ± 4.57', 'Control group: -5.80 ± 4.79'], 'P-value for ALB difference': '0.000'}""], 'Incidence of complications (bone marrow suppression, infections)': [""{'Bone Marrow Suppression': '20% vs. 48%, P = 0.037', 'Infections': '12% vs. 44%, P = 0.012'}""], 'Completion rate of radiotherapy': ['96% vs. 76%, P = 0.103'], 'Length of hospital stay (LOS)': ['50.16 ± 5.38 days (control group), 45.68 ± 3.87 days (NST group)', 'Difference: -4.5 days'], 'In-patient cost': ['18.22 ± 2.80 thousand dollars (control group), 16.95 ± 2.50 thousand dollars (NST group)', 'Difference: -1.3 thousand dollars']}"
26608727,"['time to diagnosis', 'stage at diagnosis']","['Clinical', 'Clinical']","{'time to diagnosis': ['16 days', 'IQI: 4-56', '39 days', 'IQI: 17-93', 'diagnostic interval median: 23 vs. 66, p = 0.008', '13.5 % (95 % CI:−11.0–37.9 %, p-value = 0.280)'], 'stage at diagnosis': ['localized', 'no difference between control and intervention GPs in non-adjusted analyses', 'risk difference (RD): 1.5, 95% confidence interval (CI): -31.8-34.9, p value = 0.927']}"
